Country,Code,ContinentCode,Year,Gini income inequality index
Albania,ALB,EU,1996,27
Albania,ALB,EU,2002,31.7
Albania,ALB,EU,2005,30.6
Albania,ALB,EU,2008,30
Albania,ALB,EU,2012,29
Albania,ALB,EU,2014,34.6
Albania,ALB,EU,2015,32.8
Albania,ALB,EU,2016,33.7
Albania,ALB,EU,2017,33.1
Albania,ALB,EU,2018,30.1
Albania,ALB,EU,2019,30.1
Albania,ALB,EU,2020,29.4
Algeria,DZA,AF,1988,40.2
Algeria,DZA,AF,1995,35.3
Algeria,DZA,AF,2011,27.6
Angola,AGO,AF,2000,52
Angola,AGO,AF,2008,42.7
Angola,AGO,AF,2018,51.3
Argentina,ARG,SA,1980,40.8
Argentina,ARG,SA,1986,42.8
Argentina,ARG,SA,1987,45.3
Argentina,ARG,SA,1991,46.8
Argentina,ARG,SA,1992,45.5
Argentina,ARG,SA,1993,44.9
Argentina,ARG,SA,1994,45.9
Argentina,ARG,SA,1995,48.9
Argentina,ARG,SA,1996,49.5
Argentina,ARG,SA,1997,49.1
Argentina,ARG,SA,1998,50.7
Argentina,ARG,SA,1999,49.8
Argentina,ARG,SA,2000,51.1
Argentina,ARG,SA,2001,53.3
Argentina,ARG,SA,2002,53.8
Argentina,ARG,SA,2003,50.9
Argentina,ARG,SA,2004,48.4
Argentina,ARG,SA,2005,47.7
Argentina,ARG,SA,2006,46.3
Argentina,ARG,SA,2007,46.2
Argentina,ARG,SA,2008,44.9
Argentina,ARG,SA,2009,43.7
Argentina,ARG,SA,2010,43.6
Argentina,ARG,SA,2011,42.6
Argentina,ARG,SA,2012,41.3
Argentina,ARG,SA,2013,40.9
Argentina,ARG,SA,2014,41.6
Argentina,ARG,SA,2016,42
Argentina,ARG,SA,2017,41.1
Argentina,ARG,SA,2018,41.3
Argentina,ARG,SA,2019,42.9
Argentina,ARG,SA,2020,42.3
Argentina,ARG,SA,2021,42
Armenia,ARM,AS,1999,36.2
Armenia,ARM,AS,2001,35.4
Armenia,ARM,AS,2002,34.8
Armenia,ARM,AS,2003,33
Armenia,ARM,AS,2004,37.5
Armenia,ARM,AS,2005,36
Armenia,ARM,AS,2006,29.7
Armenia,ARM,AS,2007,31.2
Armenia,ARM,AS,2008,29.2
Armenia,ARM,AS,2009,28
Armenia,ARM,AS,2010,30
Armenia,ARM,AS,2011,29.4
Armenia,ARM,AS,2012,29.6
Armenia,ARM,AS,2013,30.6
Armenia,ARM,AS,2014,31.5
Armenia,ARM,AS,2015,32.4
Armenia,ARM,AS,2016,32.5
Armenia,ARM,AS,2017,33.6
Armenia,ARM,AS,2018,34.4
Armenia,ARM,AS,2019,30
Armenia,ARM,AS,2020,25.1
Armenia,ARM,AS,2021,27.9
Australia,AUS,OC,1981,31.3
Australia,AUS,OC,1985,32.5
Australia,AUS,OC,1989,33.2
Australia,AUS,OC,1995,32.6
Australia,AUS,OC,2001,33.5
Australia,AUS,OC,2003,33.5
