Country,Code,ContinentCode,Year,Robberies per 100000 people,Thefts per 100000 people
Albania,ALB,EU,2005,7,97
Albania,ALB,EU,2006,5,96
Albania,ALB,EU,2007,4,99
Albania,ALB,EU,2008,5,108
Albania,ALB,EU,2009,6,105
Albania,ALB,EU,2010,8,137
Albania,ALB,EU,2011,9,160
Albania,ALB,EU,2012,11,186
Albania,ALB,EU,2013,13,182
Albania,ALB,EU,2014,10,276
Albania,ALB,EU,2015,8,248
Albania,ALB,EU,2016,5,192
Albania,ALB,EU,2017,6,
Algeria,DZA,AF,2005,76,
Algeria,DZA,AF,2006,63,163
Algeria,DZA,AF,2007,60,142
Algeria,DZA,AF,2008,58,150
Algeria,DZA,AF,2009,54,150
Algeria,DZA,AF,2010,51,142
Algeria,DZA,AF,2011,52,145
Algeria,DZA,AF,2012,29,106
Algeria,DZA,AF,2013,47,143
Algeria,DZA,AF,2014,54,120
Algeria,DZA,AF,2015,66,125
Andorra,AND,EU,2007,5,1251
Andorra,AND,EU,2008,5,1141
Andorra,AND,EU,2009,14,1175
Andorra,AND,EU,2010,10,1323
Andorra,AND,EU,2011,6,1291
Andorra,AND,EU,2012,8,1270
Andorra,AND,EU,2013,17,1319
Andorra,AND,EU,2014,10,1286
Andorra,AND,EU,2015,11,1484
Argentina,ARG,SA,2005,908,776
Argentina,ARG,SA,2006,895,738
Argentina,ARG,SA,2007,849,663
Argentina,ARG,SA,2008,958,704
Argentina,ARG,SA,2014,1126,668
Argentina,ARG,SA,2015,1020,626
Argentina,ARG,SA,2016,3,616
Argentina,ARG,SA,2017,920,
Armenia,ARM,AS,2003,5,93
Armenia,ARM,AS,2004,8,92
Armenia,ARM,AS,2005,9,82
Armenia,ARM,AS,2006,9,103
Armenia,ARM,AS,2007,7,91
Armenia,ARM,AS,2008,12,108
Armenia,ARM,AS,2009,14,134
Armenia,ARM,AS,2010,12,124
Armenia,ARM,AS,2011,12,142
Armenia,ARM,AS,2012,10,135
Armenia,ARM,AS,2013,,156
Armenia,ARM,AS,2014,,154
Armenia,ARM,AS,2015,,178
Armenia,ARM,AS,2016,11,194
Armenia,ARM,AS,2017,8,
Australia,AUS,OC,2003,,3162
Australia,AUS,OC,2004,,2746
Australia,AUS,OC,2005,,2557
Australia,AUS,OC,2006,,2517
Australia,AUS,OC,2007,,2345
Australia,AUS,OC,2008,17,2326
Australia,AUS,OC,2009,18,2199
Australia,AUS,OC,2010,66,2153
Australia,AUS,OC,2011,61,2224
Australia,AUS,OC,2012,57,2236
Australia,AUS,OC,2013,50,2121
Australia,AUS,OC,2014,42,2055
Australia,AUS,OC,2015,37,2122
Australia,AUS,OC,2016,39,2460
Australia,AUS,OC,2017,39,
Austria,AUT,EU,2004,59,2338
Austria,AUT,EU,2005,58,2150
Austria,AUT,EU,2006,62,2178
Austria,AUT,EU,2007,61,2101
Austria,AUT,EU,2008,57,1980
Austria,AUT,EU,2009,55,1930
Austria,AUT,EU,2010,51,1796
Austria,AUT,EU,2011,48,1713
Austria,AUT,EU,2012,48,1733
Austria,AUT,EU,2013,44,1754
Austria,AUT,EU,2014,41,1730
Austria,AUT,EU,2015,40,1631
Austria,AUT,EU,2016,36,1650
Azerbaijan,AZE,AS,2003,2,22
Azerbaijan,AZE,AS,2004,2,21
Azerbaijan,AZE,AS,2005,2,25
Azerbaijan,AZE,AS,2006,3,25
Azerbaijan,AZE,AS,2007,,22
Azerbaijan,AZE,AS,2008,,38
Azerbaijan,AZE,AS,2009,4,41
Azerbaijan,AZE,AS,2010,3,43
Azerbaijan,AZE,AS,2011,3,54
Azerbaijan,AZE,AS,2012,3,45
Azerbaijan,AZE,AS,2013,2,54
Azerbaijan,AZE,AS,2014,3,61
Azerbaijan,AZE,AS,2016,5,25
Azerbaijan,AZE,AS,2017,4,
Bahamas,BHS,NA,2005,,440
Bahamas,BHS,NA,2006,,382
